0000 07-07-77 07:29:28 +25C 65535   325   16   5 Ê3
0169 036 008 162 002 199 084 032 000 255 055 081 059 093 202 102 023
0170 020 006 202 003 190 036 024 000 255 054 060 057 056 187 091 036
0171 020 009 151 005 148 040 015 001 255 062 057 060 071 179 073 052
0172 024 026 127 001 148 058 009 011 255 048 065 089 128 149 063 072
0173 039 019 122 003 141 041 003 008 255 060 089 079 159 145 048 068
0174 052 013 146 005 107 055 008 005 255 063 106 067 185 140 062 060
0175 049 000 191 011 065 032 017 000 255 071 101 042 179 129 081 010
0176 054 000 201 013 040 048 023 000 255 072 109 044 161 127 086 004
0177 057 000 168 022 026 081 029 000 255 090 112 032 148 124 097 019
0178 052 000 088 035 017 110 029 000 199 111 106 041 133 120 097 002
0179 041 015 013 026 014 105 012 000 070 098 092 073 127 121 066 002
0180 035 027 000 031 032 055 007 000 047 103 081 096 104 117 062 004
0181 033 044 031 020 024 051 021 000 104 085 078 123 077 128 083 017
0182 021 051 084 006 021 080 009 000 202 060 059 134 060 139 063 019
0183 020 051 131 000 030 103 000 000 255 047 061 139 034 124 039 004
0184 024 042 159 000 027 132 000 000 255 036 056 116 068 100 019 020
0185 011 025 170 007 019 135 000 000 255 064 048 086 099 070 028 017
0186 016 007 163 011 031 138 000 000 255 072 055 057 101 065 033 005
0187 020 007 171 030 042 149 000 000 255 106 062 061 125 080 024 001
0188 021 023 179 047 029 190 000 000 255 133 063 086 209 097 028 020
0189 001 032 160 041 020 186 003 000 255 124 029 098 200 098 052 017
0190 000 026 109 043 009 195 015 000 239 127 014 088 188 098 074 031
0191 000 037 113 043 027 193 013 000 245 118 007 112 161 101 070 000
0192 000 027 108 024 029 189 000 000 235 089 021 091 115 085 042 000
0193 000 018 109 011 034 150 000 000 237 072 011 080 073 066 028 008
0194 000 016 111 003 024 147 000 000 240 056 015 076 100 047 026 021
0195 000 009 107 005 000 189 000 000 233 060 000 065 152 030 022 000
0196 000 002 092 000 000 214 000 000 207 049 000 054 199 012 018 039
0197 000 002 049 000 013 231 000 000 132 039 000 048 239 013 005 006
0198 000 001 002 000 032 234 000 000 051 048 000 047 255 034 013 025
0199 001 002 017 012 035 217 000 000 082 074 031 049 255 045 016 032
0200 017 002 028 027 014 168 000 000 099 104 056 048 255 031 029 037
0201 029 000 045 043 045 131 000 000 126 126 071 044 255 034 017 021
0202 014 004 055 057 063 090 000 000 150 153 050 053 223 062 000 006
0203 012 011 087 065 051 071 000 000 208 168 046 065 170 061 000 002
0204 010 027 123 057 030 055 000 000 255 151 043 092 115 036 001 008
0205 003 022 121 055 025 077 001 000 255 146 034 083 074 041 019 028
0206 001 036 120 056 036 053 000 000 255 156 032 106 070 053 013 042
0207 000 031 082 078 033 042 000 000 194 194 008 099 083 060 000 050
0208 000 004 050 074 033 070 000 004 134 187 004 052 087 047 041 047
0209 000 000 042 066 015 084 001 000 120 170 019 033 116 022 043 024
0210 006 000 030 050 012 065 000 000 100 140 040 039 135 012 044 021
0211 010 011 018 018 003 072 000 000 078 084 043 065 157 020 040 007
0212 000 012 022 000 014 047 000 000 086 041 018 068 197 017 017 000
0213 000 014 050 000 025 032 000 000 136 039 014 069 203 022 005 009
0214 000 008 079 000 060 038 000 000 193 030 018 059 185 023 000 010
0215 000 000 099 000 052 055 000 000 225 034 026 015 155 000 001 054
0216 002 000 098 016 038 052 000 000 224 083 035 012 127 003 003 027
0217 000 000 102 023 015 047 000 000 230 096 019 039 108 048 012 047
0218 000 029 118 022 012 062 000 000 253 094 000 096 101 076 024 024
